ID;Corps_Statut;Typ_Personnels;Corps_Grades;Grades;Categorie;"Indice Minimum avant
01/03/2022";"Indice Minimum
A partir du 01/03/2022";"Indice Minimum
A partir du 01/01/2023";"Indice Minimum
A partir du 01/01/2024"
99;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Attachés d'Administration;Attaché Principal d'administration;10;453;503;578;653
100;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Agents d'Administration;Agent de bureau;5;288;338;413;488
101;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Agents d'Administration;Agent d'administration;7;348;398;473;548
102;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Agents d'Administration;Agent Principal d'administration;8;379;429;504;579
103;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Agents d'Administration;Agent de saisie;5;288;338;413;488
104;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Secrétaires;Secretaire;6;315;365;440;515
105;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Secrétaires;Secretaire de direction;8;379;429;504;579
106;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Secrétaires;Secretaire Principal de direction;10;453;503;578;653
107;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Comptables administratifs;Aide-comptable administratif;5;288;338;413;488
108;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Comptables administratifs;Comptable administratif;8;379;429;504;579
109;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Comptables administratifs;Comptable administratif principal;10;453;503;578;653
110;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Traduction - interprétariat”;Corps des Traducteurs interprètes;Traducteur-interprète;12;537;587;662;737
111;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Traduction - interprétariat”;Corps des Traducteurs interprètes;Traducteur-interprète spécialisé;13;578;628;703;778
112;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Traduction - interprétariat”;Corps des Traducteurs interprètes;Traducteur-interprète principal;14;621;671;746;821
113;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Traduction - interprétariat”;Corps des Traducteurs interprètes;Traducteur-interprète en chef;16;713;763;838;913
114;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Informatique”;Corps des Ingénieurs;Ingénieur d’Etat en Informatique;13;578;628;703;778
115;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Informatique”;Corps des Ingénieurs;Ingénieur principal en Informatique;14;621;671;746;821
116;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Informatique”;Corps des Ingénieurs;Ingénieur en chef en Informatique;16;713;763;838;913
117;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Informatique”;Corps des Assistants ingénieurs;Assistant ingénieur de niveau 1 en Informatique;11;498;548;623;698
118;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Informatique”;Corps des Assistants ingénieurs;Assistant ingénieur de niveau 2 en Informatique;12;537;587;662;737
119;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Informatique”;Corps des Techniciens;Technicien en Informatique;8;379;429;504;579
120;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Informatique”;Corps des Techniciens;Technicien supérieur en Informatique;10;453;503;578;653
121;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Informatique”;Corps des Adjoints techniques;Adjoint technique en Informatique;7;348;398;473;548
122;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Informatique”;Corps des Agents techniques;Agent technique en Informatique;5;288;338;413;488
123;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Statistiques”;Corps des Ingénieurs;Ingénieur d’Etat en Statistiques;13;578;628;703;778
124;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Statistiques”;Corps des Ingénieurs;Ingénieur principal en Statistiques;14;621;671;746;821
125;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Statistiques”;Corps des Ingénieurs;Ingénieur en chef en Statistiques;16;713;763;838;913
126;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Statistiques”;Corps des Assistants ingénieurs;Assistant ingénieur de niveau 1 en Statistiques;11;498;548;623;698
127;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Statistiques”;Corps des Assistants ingénieurs;Assistant ingénieur de niveau 2 en Statistiques;12;537;587;662;737
128;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Statistiques”;Corps des Techniciens;Technicien en Statistiques;8;379;429;504;579
129;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Statistiques”;Corps des Techniciens;Technicien supérieur en Statistiques;10;453;503;578;653
130;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Statistiques”;Corps des Adjoints techniques;Adjoint technique en Statistiques;7;348;398;473;548
131;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Statistiques”;Corps des Agents techniques;Agent technique en Statistiques;5;288;338;413;488
132;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Documentation et archives”;Corps des Documentalistes- archivistes;Documentaliste-archiviste;12;537;587;662;737
133;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Documentation et archives”;Corps des Documentalistes- archivistes;Documentaliste-archiviste analyste;13;578;628;703;778
134;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Documentation et archives”;Corps des Documentalistes- archivistes;Documentaliste-archiviste principal;14;621;671;746;821
